Question_name,Striver_link,leetcode_link,other_link,gfg_link
,https://takeuforward.org/data-structure/quick-sort-algorithm/,,https://www.codingninjas.com/studio/problems/quick-sort_5844?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Selection Sort,https://takeuforward.org/sorting/selection-sort-algorithm/,,https://www.codingninjas.com/studio/problems/selection-sort_624469?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Bubble Sort,https://takeuforward.org/data-structure/bubble-sort-algorithm/,,https://www.codingninjas.com/studio/problems/bubble-sort_624380?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Insertion Sort,https://takeuforward.org/data-structure/insertion-sort-algorithm/,,https://www.codingninjas.com/studio/problems/insertion-sort_624381?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Merge Sort,https://takeuforward.org/data-structure/merge-sort-algorithm/,,https://www.codingninjas.com/studio/problems/merge-sort_5846?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Recursive Bubble Sort,https://takeuforward.org/arrays/recursive-bubble-sort-algorithm/,,https://www.codingninjas.com/studio/problems/bubble-sort_624380?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Recursive Insertion Sort,https://takeuforward.org/arrays/recursive-insertion-sort-algorithm/,,https://www.codingninjas.com/studio/problems/insertion-sort_624381?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Quick Sort,https://takeuforward.org/data-structure/quick-sort-algorithm/,,https://www.codingninjas.com/studio/problems/quick-sort_5844?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
