Question_name,Striver_link,leetcode_link,other_link,gfg_link
Print all Divisors,https://takeuforward.org/data-structure/print-all-divisors-of-a-given-number/,,https://www.codingninjas.com/studio/problems/sum-of-all-divisors_8360720?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Check for Prime,https://takeuforward.org/data-structure/check-if-a-number-is-prime-or-not/,,https://www.codingninjas.com/studio/problems/check-prime_624934?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Understand recursion by print somet…,https://takeuforward.org/recursion/introduction-to-recursion-understand-recursion-by-printing-something-n-times/,,https://www.codingninjas.com/codestudio/problems/print-1-to-n_628290?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Print name N times using recursion,https://takeuforward.org/recursion/print-name-n-times-using-recursion/,,https://www.codingninjas.com/studio/problems/-print-n-times_8380707?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Print 1 to N using recursion,https://takeuforward.org/recursion/print-1-to-n-using-recursion/,,https://www.codingninjas.com/codestudio/problems/print-1-to-n_628290?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Print N to 1 using recursion,https://takeuforward.org/recursion/print-n-to-1-using-recursion/,,https://www.codingninjas.com/studio/problems/n-to-1-without-loop_8357243?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Sum of first N numbers,https://takeuforward.org/data-structure/sum-of-first-n-natural-numbers/,,https://www.codingninjas.com/studio/problems/sum-of-first-n-numbers_8876068?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Factorial of N numbers,https://takeuforward.org/data-structure/factorial-of-a-number-iterative-and-recursive/,,https://www.codingninjas.com/studio/problems/factorial-numbers-not-greater-than-n_8365435?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Reverse an array,https://takeuforward.org/data-structure/reverse-a-given-array/,,https://www.codingninjas.com/studio/problems/reverse-an-array_8365444?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Check if a string is palindrome or …,https://takeuforward.org/data-structure/check-if-the-given-string-is-palindrome-or-not/,https://leetcode.com/problems/valid-palindrome/,https://www.codingninjas.com/studio/problems/check-palindrome-recursive_624386?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Fibonacci Number,https://takeuforward.org/arrays/print-fibonacci-series-up-to-nth-term/,https://leetcode.com/problems/fibonacci-number/,https://www.codingninjas.com/studio/problems/print-fibonacci-series_7421617?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Hashing Theory,,,,
Counting frequencies of array eleme…,https://takeuforward.org/data-structure/count-frequency-of-each-element-in-the-array/,,https://www.codingninjas.com/studio/problems/count-frequency-in-a-range_8365446?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Find the highest/lowest frequency e…,https://takeuforward.org/arrays/find-the-highest-lowest-frequency-element/,https://leetcode.com/problems/frequency-of-the-most-frequent-element/,https://www.codingninjas.com/studio/problems/k-most-occurrent-numbers_625382?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
