Question_name,Striver_link,leetcode_link,other_link,gfg_link
Target Sum (DP - 21),https://takeuforward.org/data-structure/target-sum-dp-21/,https://leetcode.com/problems/target-sum/,https://www.codingninjas.com/studio/problems/target-sum_4127362?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Coin Change 2 (DP - 22),https://takeuforward.org/data-structure/coin-change-2-dp-22/,https://leetcode.com/problems/coin-change-2/,https://www.codingninjas.com/studio/problems/ways-to-make-coin-change_630471?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Unbounded Knapsack (DP - 23),https://takeuforward.org/data-structure/unbounded-knapsack-dp-23/,,https://www.codingninjas.com/studio/problems/unbounded-knapsack_1215029?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Rod Cutting Problem | (DP - 24),https://takeuforward.org/data-structure/rod-cutting-problem-dp-24/,,https://www.codingninjas.com/studio/problems/rod-cutting-problem_800284?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Longest Common Subsequence | (DP - …,https://takeuforward.org/data-structure/longest-common-subsequence-dp-25/,https://leetcode.com/problems/longest-common-subsequence/,https://www.codingninjas.com/studio/problems/longest-common-subsequence_624879?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Print Longest Common Subsequence | …,https://takeuforward.org/data-structure/print-longest-common-subsequence-dp-26/,,https://www.codingninjas.com/codestudio/problems/print-longest-common-subsequence_8416383?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Longest Common Substring | (DP - 27…,https://takeuforward.org/data-structure/longest-common-substring-dp-27/,,https://www.codingninjas.com/studio/problems/longest-common-substring_1235207?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Longest Palindromic Subsequence | (…,https://takeuforward.org/data-structure/longest-palindromic-subsequence-dp-28/,https://leetcode.com/problems/longest-palindromic-subsequence/,https://www.codingninjas.com/studio/problems/longest-palindromic-subsequence_842787?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Minimum insertions to make string p…,https://takeuforward.org/data-structure/minimum-insertions-to-make-string-palindrome-dp-29/,https://leetcode.com/problems/minimum-insertion-steps-to-make-a-string-palindrome/,https://www.codingninjas.com/studio/problems/minimum-insertions-to-make-a-string-palindrome_985293?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Minimum Insertions/Deletions to Con…,https://takeuforward.org/data-structure/minimum-insertions-deletions-to-convert-string-dp-30/,https://leetcode.com/problems/delete-operation-for-two-strings/,https://www.codingninjas.com/studio/problems/minimum-number-of-deletions-and-insertions_4244510?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Shortest Common Supersequence | (DP…,https://takeuforward.org/data-structure/shortest-common-supersequence-dp-31/,https://leetcode.com/problems/shortest-common-supersequence/,https://www.codingninjas.com/studio/problems/shortest-common-supersequence_4244493?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Distinct Subsequences| (DP-32),https://takeuforward.org/data-structure/distinct-subsequences-dp-32/,https://leetcode.com/problems/distinct-subsequences/,https://www.codingninjas.com/studio/problems/subsequence-counting_3755256?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
